DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,State,Region,Division,Provider Zip Code,Hospital Referral Region Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
682 - RENAL FAILURE W MCC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,Alabama,South,East South Central,36207,AL - Birmingham,85,34026.71,8756.21,8117.77
682 - RENAL FAILURE W MCC,10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,Alabama,South,East South Central,35611,AL - Huntsville,11,14960.18,9543.27,7967.63
682 - RENAL FAILURE W MCC,10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,Alabama,South,East South Central,35609,AL - Huntsville,62,14880.19,9282.19,8665.03
682 - RENAL FAILURE W MCC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,Alabama,South,East South Central,36608,AL - Mobile,46,26929.41,8579.58,7531.8
682 - RENAL FAILURE W MCC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,Alabama,South,East South Central,35401,AL - Tuscaloosa,121,37501.61,11065.15,8557.04
682 - RENAL FAILURE W MCC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,Alabama,South,East South Central,36532,AL - Mobile,24,27741.0,8033.58,7331.41
682 - RENAL FAILURE W MCC,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,Alabama,South,East South Central,35211,AL - Birmingham,89,46244.46,9673.74,8985.95
682 - RENAL FAILURE W MCC,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,Alabama,South,East South Central,35213,AL - Birmingham,37,74008.64,10102.97,9513.72
682 - RENAL FAILURE W MCC,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,Alabama,South,East South Central,36067,AL - Montgomery,11,34044.9,8618.18,8003.63
682 - RENAL FAILURE W MCC,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,Alabama,South,East South Central,36652,AL - Mobile,75,28971.66,9280.05,7957.33
682 - RENAL FAILURE W MCC,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,Alabama,South,East South Central,35021,AL - Birmingham,37,32771.0,9062.1,8286.27
682 - RENAL FAILURE W MCC,10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,Alabama,South,East South Central,36701,AL - Birmingham,48,39105.29,10946.79,9889.72
682 - RENAL FAILURE W MCC,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,Alabama,South,East South Central,35801,AL - Huntsville,38,44646.97,8401.55,7584.23
682 - RENAL FAILURE W MCC,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,Alabama,South,East South Central,35209,AL - Birmingham,27,126907.33,9881.03,6830.07
682 - RENAL FAILURE W MCC,10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,Alabama,South,East South Central,36608,AL - Mobile,18,17830.72,7968.05,6854.22
682 - RENAL FAILURE W MCC,10145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,NORTHPORT,AL,Alabama,South,East South Central,35476,AL - Tuscaloosa,20,39474.95,11652.15,10489.15
682 - RENAL FAILURE W MCC,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,Alabama,South,East South Central,36117,AL - Montgomery,28,44030.5,10813.96,10145.92
682 - RENAL FAILURE W MCC,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,Alabama,South,East South Central,35150,AL - Birmingham,12,35756.5,9208.08,8447.41
682 - RENAL FAILURE W MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,Alaska,West,Pacific,99519,AK - Anchorage,29,56015.2,16119.17,14189.82
682 - RENAL FAILURE W MCC,20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,Alaska,West,Pacific,99701,AK - Anchorage,22,35838.63,22691.0,20298.45
682 - RENAL FAILURE W MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,Alaska,West,Pacific,99508,AK - Anchorage,11,65844.72,12326.45,10451.72
682 - RENAL FAILURE W MCC,30001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,Arizona,West,Mountain,85031,AZ - Phoenix,11,30524.09,14194.27,13476.81
682 - RENAL FAILURE W MCC,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,Arizona,West,Mountain,85006,AZ - Phoenix,82,52004.69,13231.64,11972.0
682 - RENAL FAILURE W MCC,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,Arizona,West,Mountain,85712,AZ - Tucson,59,34480.23,11325.47,10639.66
682 - RENAL FAILURE W MCC,30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,Arizona,West,Mountain,86326,AZ - Phoenix,16,59893.12,15531.56,14967.56
682 - RENAL FAILURE W MCC,30010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,Arizona,West,Mountain,85745,AZ - Tucson,25,33515.0,10352.84,9496.36
682 - RENAL FAILURE W MCC,30011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,Arizona,West,Mountain,85711,AZ - Tucson,48,37531.14,9608.87,8424.02
682 - RENAL FAILURE W MCC,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,Arizona,West,Mountain,86301,AZ - Phoenix,18,33437.38,11394.83,10190.33
682 - RENAL FAILURE W MCC,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,Arizona,West,Mountain,85364,AZ - Phoenix,72,32260.38,11350.26,10470.38
682 - RENAL FAILURE W MCC,30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,Arizona,West,Mountain,85020,AZ - Phoenix,57,39710.77,10615.43,9875.19
682 - RENAL FAILURE W MCC,30016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,Arizona,West,Mountain,85222,AZ - Phoenix,12,40861.66,11694.58,10476.25
682 - RENAL FAILURE W MCC,30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,Arizona,West,Mountain,85013,AZ - Phoenix,31,41856.41,14031.8,13487.16
682 - RENAL FAILURE W MCC,30030,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,Arizona,West,Mountain,85015,AZ - Phoenix,19,21630.42,11970.0,11099.63
682 - RENAL FAILURE W MCC,30036,CHANDLER REGIONAL MEDICAL CENTER,475 SOUTH DOBSON ROAD,CHANDLER,AZ,Arizona,West,Mountain,85224,AZ - Mesa,38,53970.13,11415.68,9837.47
682 - RENAL FAILURE W MCC,30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,Arizona,West,Mountain,85251,AZ - Phoenix,26,40779.0,11614.15,9260.11
682 - RENAL FAILURE W MCC,30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,SIERRA VISTA,AZ,Arizona,West,Mountain,85635,AZ - Tucson,23,30072.26,12073.82,11484.6
682 - RENAL FAILURE W MCC,30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,Arizona,West,Mountain,86409,AZ - Phoenix,31,35177.22,11596.67,10672.77
682 - RENAL FAILURE W MCC,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,Arizona,West,Mountain,85351,AZ - Sun City,54,55374.61,9337.59,8496.2
682 - RENAL FAILURE W MCC,30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,Arizona,West,Mountain,85724,AZ - Tucson,34,31791.5,15625.26,14403.41
682 - RENAL FAILURE W MCC,30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,Arizona,West,Mountain,85202,AZ - Mesa,80,33492.16,11415.8,9475.23
682 - RENAL FAILURE W MCC,30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CIT,AZ,Arizona,West,Mountain,86403,AZ - Phoenix,18,40586.11,10480.83,9672.16
682 - RENAL FAILURE W MCC,30083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,PHOENIX,AZ,Arizona,West,Mountain,85032,AZ - Phoenix,17,42199.88,12125.17,11600.0
682 - RENAL FAILURE W MCC,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,Arizona,West,Mountain,85741,AZ - Tucson,28,58299.35,9668.0,9044.78
682 - RENAL FAILURE W MCC,30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,Arizona,West,Mountain,85260,AZ - Phoenix,33,39625.21,9928.51,7342.72
682 - RENAL FAILURE W MCC,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,Arizona,West,Mountain,85206,AZ - Mesa,88,39187.59,9744.05,8486.81
682 - RENAL FAILURE W MCC,30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,Arizona,West,Mountain,85306,AZ - Phoenix,57,40980.47,10870.17,9882.94
682 - RENAL FAILURE W MCC,30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,19829 NORTH 27TH AVENUE,PHOENIX,AZ,Arizona,West,Mountain,85027,AZ - Phoenix,29,31421.86,10399.34,9165.96
682 - RENAL FAILURE W MCC,30093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,Arizona,West,Mountain,85375,AZ - Sun City,47,48066.17,9599.46,8825.44
682 - RENAL FAILURE W MCC,30094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,Arizona,West,Mountain,85308,AZ - Phoenix,20,27656.55,10850.05,9924.15
682 - RENAL FAILURE W MCC,30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,Arizona,West,Mountain,86442,NV - Las Vegas,24,92585.7,12403.5,11178.45
682 - RENAL FAILURE W MCC,30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,Arizona,West,Mountain,85054,AZ - Phoenix,37,29669.67,12241.45,10819.35
682 - RENAL FAILURE W MCC,30110,WEST VALLEY HOSPITAL,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,Arizona,West,Mountain,85395,AZ - Phoenix,34,25662.05,11611.76,9810.94
682 - RENAL FAILURE W MCC,30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,Arizona,West,Mountain,85755,AZ - Tucson,11,40725.27,8776.9,8268.18
682 - RENAL FAILURE W MCC,30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,Arizona,West,Mountain,85037,AZ - Phoenix,33,39234.15,11380.48,10850.72
682 - RENAL FAILURE W MCC,30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,Arizona,West,Mountain,86426,NV - Las Vegas,12,56696.83,10280.83,9442.5
682 - RENAL FAILURE W MCC,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,Arizona,West,Mountain,85296,AZ - Mesa,49,65342.75,11217.48,10344.83
682 - RENAL FAILURE W MCC,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,Arizona,West,Mountain,85209,AZ - Mesa,15,74648.6,18384.66,10659.06
682 - RENAL FAILURE W MCC,30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,Arizona,West,Mountain,85234,AZ - Mesa,28,33338.6,10073.78,8445.78
682 - RENAL FAILURE W MCC,30128,HUALAPAI MOUNTAIN MEDICAL CENTER,3801 SANTA ROSA DRIVE,KINGMAN,AZ,Arizona,West,Mountain,86401,AZ - Phoenix,13,39003.69,9687.23,9426.0
682 - RENAL FAILURE W MCC,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,3215 N NORTH HILLS BLVD,FAYETTEVILLE,AR,Arkansas,South,West South Central,72703,AR - Springdale,21,28782.8,9099.47,8057.85
682 - RENAL FAILURE W MCC,40007,ST VINCENT INFIRMARY MEDICAL CENTER,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,Arkansas,South,West South Central,72205,AR - Little Rock,68,30775.98,9717.05,8885.55
682 - RENAL FAILURE W MCC,40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,Arkansas,South,West South Central,72205,AR - Little Rock,108,32555.23,15558.23,14616.01
682 - RENAL FAILURE W MCC,40020,ST BERNARDS MEDICAL CTR,225 E JACKSON,JONESBORO,AR,Arkansas,South,West South Central,72401,AR - Jonesboro,91,14501.56,9961.1,8920.4
682 - RENAL FAILURE W MCC,40022,"NW ARKANSAS HOSPITALS, LLC",609 WEST MAPLE AVENUE,SPRINGDALE,AR,Arkansas,South,West South Central,72764,AR - Springdale,46,48490.47,9148.28,8527.36
682 - RENAL FAILURE W MCC,40026,ST JOSEPHS MERCY HEALTH CENTER INC,300 WERNER STREET,HOT SPRINGS,AR,Arkansas,South,West South Central,71903,AR - Little Rock,64,39673.84,9714.71,8532.79
682 - RENAL FAILURE W MCC,40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,Arkansas,South,West South Central,72653,MO - Springfield,45,16736.53,8503.6,7550.95
682 - RENAL FAILURE W MCC,40029,CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,CONWAY,AR,Arkansas,South,West South Central,72034,AR - Little Rock,25,38299.2,11907.48,11414.52
682 - RENAL FAILURE W MCC,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE RO,AR,Arkansas,South,West South Central,72117,AR - Little Rock,78,20347.62,8614.43,7822.71
682 - RENAL FAILURE W MCC,40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,Arkansas,South,West South Central,72801,AR - Little Rock,12,17860.41,8708.0,8053.0
682 - RENAL FAILURE W MCC,40042,CRITTENDEN MEMORIAL HOSPITAL,200 TYLER,WEST MEMPHIS,AR,Arkansas,South,West South Central,72301,TN - Memphis,19,33632.57,11394.68,10800.57
682 - RENAL FAILURE W MCC,40055,SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE,FORT SMITH,AR,Arkansas,South,West South Central,72901,AR - Fort Smith,53,22132.64,8922.81,8168.6
682 - RENAL FAILURE W MCC,40062,ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE,FORT SMITH,AR,Arkansas,South,West South Central,72917,AR - Fort Smith,40,34712.45,9255.25,8723.95
682 - RENAL FAILURE W MCC,40071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,Arkansas,South,West South Central,71603,AR - Little Rock,55,43574.87,10800.94,9579.65
682 - RENAL FAILURE W MCC,40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,Arkansas,South,West South Central,71901,AR - Little Rock,38,73220.81,10437.31,9740.63
682 - RENAL FAILURE W MCC,40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,Arkansas,South,West South Central,72015,AR - Little Rock,38,19070.94,8527.1,7831.18
682 - RENAL FAILURE W MCC,40088,MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,Arkansas,South,West South Central,71731,AR - Little Rock,21,59245.76,9925.42,9389.38
682 - RENAL FAILURE W MCC,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,Arkansas,South,West South Central,72205,AR - Little Rock,134,30997.03,9635.82,8351.29
682 - RENAL FAILURE W MCC,40118,NEA BAPTIST MEMORIAL HOSPITAL,3024 STADIUM BOULEVARD,JONESBORO,AR,Arkansas,South,West South Central,72401,AR - Jonesboro,28,40686.64,10247.82,9606.71
682 - RENAL FAILURE W MCC,40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,Arkansas,South,West South Central,72503,AR - Little Rock,25,29152.2,9838.4,9351.64
682 - RENAL FAILURE W MCC,40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,Arkansas,South,West South Central,72211,AR - Little Rock,11,19561.63,8236.27,7727.54
