row_id,order_priority,discount,unit_price,shipping_cost,customer_id,ship_mode,customer_segment,product_category,product_subcategory,product_container,product_base_margin,state_or_province,order_date,profit,quantity_ordered_new,sales,order_id
1043,Critical,0.1,104.85,4.65,3011,Regular Air,Corporate,Office Supplies,Paper,Small Box,0.37,Massachusetts,2023-08-26,1184.12,58,5582.63,7623
1074,High,0.03,4.26,1.2,117,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44,Washington,2023-05-03,9.82,29,122.23,7909
1115,Low,0.01,4.98,7.44,553,Regular Air,Corporate,Office Supplies,Paper,Small Box,0.36,California,2023-08-13,-179.592,63,330.21,8165
1128,Low,0.02,48.04,5.09,949,Regular Air,Consumer,Office Supplies,Paper,Small Box,0.37,California,2023-07-20,373.67,18,881.32,8257
1147,Medium,0.08,2.94,0.96,491,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58,New York,2023-09-12,-2.12,23,66.7,8353
1225,Low,0.1,40.48,19.99,698,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,0.77,Washington,2023-08-05,-580.32,36,1423.35,8994
1279,Critical,0.06,40.98,2.99,949,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0.36,California,2023-05-02,-19.0992,3,124.81,9285
1311,Not Specified,0.02,12.53,0.49,898,Regular Air,Small Business,Office Supplies,Labels,Small Box,0.38,New York,2023-05-27,263.4,47,594.44,9606
1312,Not Specified,0.07,5.18,2.04,898,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,0.36,New York,2023-05-27,37.31,44,228.5,9606
1417,Medium,0,65.99,5.26,1413,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,0.59,Massachusetts,2023-08-05,542.25,36,2144.92,10277
1450,Critical,0.01,4.98,6.07,491,Regular Air,Consumer,Office Supplies,Paper,Small Box,0.36,New York,2023-06-10,-69.07,41,217,10464
1529,High,0.01,125.99,8.99,2867,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,0.59,District of Columbia,2023-08-15,-582.648,2,226.88,11013
1539,Low,0.06,160.98,35.02,640,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,0.72,Washington,2023-07-18,-229.68,30,4620.05,11077
1552,Low,0.09,49.99,19.99,1193,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,0.41,District of Columbia,2023-10-26,-17.03,48,2373.32,11206
1553,Low,0.03,28.53,1.49,1193,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,0.38,District of Columbia,2023-10-26,39.627,11,325.73,11206
1595,Medium,0.04,99.23,8.99,349,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,0.35,Florida,2023-05-02,1916.6757,54,5555.6,11527
1617,Low,0.06,4.28,0.94,2491,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56,California,2023-08-24,0.37,9,38.96,11712
1692,High,0.04,124.49,51.94,1745,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,0.63,Georgia,2023-10-10,-247.55157,4,605.82,12224
1693,High,0.1,35.99,5,1745,Regular Air,Consumer,Technology,Telephones and Communication,Wrap Bag,0.82,Georgia,2023-10-10,-277.20924,54,1569,12224
1739,Medium,0,137.48,32.18,3079,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,0.78,Pennsylvania,2023-05-07,-203.27,10,1483.76,12480
1863,Low,0.04,60.65,12.23,1745,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,0.64,Georgia,2023-06-14,116.5063,4,256.77,13408
1898,Not Specified,0.07,3.38,0.85,2382,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,0.48,New York,2023-08-24,19.04,34,109.86,13606
1917,Medium,0.02,7.64,1.39,1129,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,0.36,Massachusetts,2023-09-18,117.38,52,406.91,13735
1950,Medium,0.01,4.91,0.5,117,Regular Air,Home Office,Office Supplies,Labels,Small Box,0.36,Washington,2023-08-02,112.06,47,228.46,13959
1951,Medium,0.09,4,1.3,117,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,0.37,Washington,2023-08-02,16.79,19,77.61,13959
1976,Not Specified,0.04,6.28,5.41,1682,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,0.53,Illinois,2023-06-14,-38.38,43,284.48,14115
2045,Critical,0.01,8.34,0.96,894,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,0.43,District of Columbia,2023-05-10,29.332,24,199.12,14596
2046,Critical,0.06,3.28,3.97,894,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56,District of Columbia,2023-05-10,-86,19,63.14,14596
2063,Low,0.06,19.23,6.15,3075,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,0.44,California,2023-06-28,-25.38,4,84.6,14756
2065,High,0.08,4.91,0.5,2491,Regular Air,Consumer,Office Supplies,Labels,Small Box,0.36,California,2023-08-07,31.752,36,170.75,14785
2066,High,0.02,28.15,6.17,2491,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Small Pack,0.55,California,2023-08-07,117.208,45,1339.42,14785
2296,Not Specified,0.09,355.98,58.92,2498,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,0.64,California,2023-06-18,1240.25,30,10554.63,16547
2297,Not Specified,0.04,218.75,69.64,2498,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,0.77,California,2023-06-18,-533.232,8,1749.64,16547
2314,High,0.07,28.99,8.59,2882,Regular Air,Consumer,Technology,Telephones and Communication,Medium Box,0.56,North Carolina,2023-07-17,-16.06374,39,936.8,16676
2368,Medium,0,6.88,2,553,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,0.39,California,2023-05-28,34.068,36,267.53,17155
2408,Critical,0,8.34,2.64,349,Express Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.59,Florida,2023-10-07,5.8625,23,212.89,17446
2428,Low,0.03,2.94,0.96,962,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58,Illinois,2023-06-04,-4.2,2,7.01,17636
2571,Not Specified,0.02,4.13,6.89,1745,Regular Air,Home Office,Office Supplies,Labels,Small Box,0.39,Georgia,2023-05-09,-51.737,9,45.87,18561
2628,Critical,0.07,40.98,7.47,1280,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0.37,Washington,2023-06-29,54.9015,8,327.61,19042
2768,Not Specified,0.08,1.68,1.57,2498,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,0.59,California,2023-06-05,-46.25,88,148.36,20007
2808,Medium,0.04,6.35,1.02,1106,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,0.39,Texas,2023-09-17,81.91,52,318.47,20261
2986,Critical,0.03,194.3,11.54,3342,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,0.59,District of Columbia,2023-06-13,2861.01,42,8549.04,21572
3004,Low,0,22.38,15.1,1340,Express Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,0.38,New York,2023-06-10,-52.647,29,682.68,21636
3005,Low,0.07,5.98,4.69,1340,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,0.68,New York,2023-06-10,-24.44,11,73.44,21636
3006,Low,0.02,55.99,3.3,1340,Regular Air,Home Office,Technology,Telephones and Communication,Small Pack,0.59,New York,2023-06-10,366.507,63,2997.07,21636
3065,High,0.09,363.25,19.99,2882,Regular Air,Consumer,Office Supplies,Appliances,Small Box,0.57,North Carolina,2023-10-03,732.2698,21,7497.05,21958
3086,Low,0.04,22.72,8.99,667,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,0.44,Texas,2023-05-16,70.028,37,832.14,22147
3167,Medium,0.04,5.34,2.99,1314,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,0.38,California,2023-07-28,3.451,45,240.6,22755
3168,Medium,0.06,55.99,5,1314,Regular Air,Home Office,Technology,Telephones and Communication,Small Pack,0.8,California,2023-07-28,-275.253,5,236.88,22755
3212,Medium,0.04,419.19,19.99,2491,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,0.58,California,2023-08-24,1947.67,20,8048.45,23042
3323,Medium,0.01,220.98,64.66,2747,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,0.62,New York,2023-07-16,1049.03,44,10364.36,23751
3338,Not Specified,0.07,65.99,8.8,2491,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,0.58,California,2023-05-12,109.836,37,1939.03,23877
3339,Not Specified,0,10.01,1.99,2491,Express Air,Home Office,Technology,Computer Peripherals,Small Pack,0.41,California,2023-05-12,128.03,42,457.63,23877
3392,Not Specified,0.02,200.98,55.96,373,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,0.75,Michigan,2023-07-12,-163.63,45,9539.6,24193
3393,Not Specified,0.02,4.28,5.17,373,Regular Air,Small Business,Office Supplies,Paper,Small Box,0.4,Michigan,2023-07-12,-63.87,24,109.86,24193
3394,Not Specified,0.04,85.99,0.99,373,Regular Air,Small Business,Technology,Telephones and Communication,Wrap Bag,0.85,Michigan,2023-07-12,-175.175,19,1426.51,24193
3406,Not Specified,0.03,200.97,15.59,3196,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,0.36,California,2023-06-02,1951.3,43,8717.75,24294
3431,Not Specified,0.07,3.98,0.83,1340,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,0.51,New York,2023-10-04,27.38,76,282.85,24455
3490,Not Specified,0.05,8.85,5.6,2431,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0.36,California,2023-10-08,-9.177,21,199.08,24869
3684,Low,0.02,9.99,11.59,1959,Regular Air,Home Office,Office Supplies,Paper,Small Box,0.4,Florida,2023-08-16,-171.1577,43,475.42,26342
3685,Low,0.02,48.04,5.79,1959,Regular Air,Home Office,Office Supplies,Paper,Small Box,0.37,Florida,2023-08-16,624.239,74,3598.82,26342
3686,Low,0.04,6.68,4.91,1959,Regular Air,Home Office,Office Supplies,Paper,Small Box,0.37,Florida,2023-08-16,-14.3241,5,41.22,26342
3791,Low,0.05,80.98,35,1314,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,0.81,California,2023-05-05,-746.44,34,2710.47,27013
3792,Low,0.05,279.48,35,1314,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,0.8,California,2023-05-05,-274.95,31,8354.73,27013
3847,Not Specified,0.05,328.14,91.05,1104,Delivery Truck,Home Office,Office Supplies,Appliances,Jumbo Drum,0.57,New York,2023-08-08,772.04,29,9492.92,27456
3926,Critical,0.02,209.84,21.21,1044,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,0.59,California,2023-10-12,2593.14,62,13546.94,28001
3927,Critical,0.01,194.3,11.54,1044,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,0.59,California,2023-10-12,1162.76,32,6401.65,28001
3956,Critical,0,20.28,14.39,1959,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,0.47,Florida,2023-05-22,-66.2473,9,206.04,28225
4015,Critical,0.09,154.13,69,604,Express Air,Corporate,Furniture,Tables,Large Box,0.68,California,2023-07-12,-1763.7477,38,5679.59,28647
4125,Low,0.1,238.4,24.49,1282,Regular Air,Small Business,Furniture,Chairs & Chairmats,Large Box,,Pennsylvania,2023-05-24,460.676,30,6654.39,29319
4126,Low,0.03,199.99,24.49,1282,Express Air,Small Business,Technology,Copiers and Fax,Large Box,0.46,Pennsylvania,2023-05-24,393.42,21,4429.69,29319
4131,High,0.05,52.4,16.11,1193,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0.39,District of Columbia,2023-06-25,592.5265,85,4556.63,29350
4133,High,0.05,36.55,13.89,1193,Express Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,0.41,District of Columbia,2023-06-25,232.8,83,2948.61,29350
4204,Not Specified,0.09,5.98,1.67,2548,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,0.51,California,2023-10-02,23.87,81,448.26,29889
4321,High,0.03,6.48,8.73,2460,Regular Air,Home Office,Office Supplies,Paper,Small Box,0.37,New York,2023-05-03,-35.04,8,63.78,30785
4322,High,0.07,9.93,1.09,2460,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,0.43,New York,2023-05-03,149.53,46,451.61,30785
4501,Low,0.04,8.6,6.19,1129,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,0.38,Massachusetts,2023-06-16,-63.8135,37,311.66,32037
4502,Low,0.07,699.99,24.49,1129,Regular Air,Home Office,Technology,Copiers and Fax,Large Box,0.54,Massachusetts,2023-06-16,325.29,15,9862.51,32037
4556,Medium,0.07,5.02,5.14,699,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,0.79,California,2023-05-29,-168.72,42,210.1,32420
4557,Medium,0.07,280.98,57,699,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,0.78,California,2023-05-29,-439.62,23,6499.87,32420
4596,High,0.04,12.44,6.27,1723,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,0.57,California,2023-09-13,-59.06,146,1834.61,32710
4613,Medium,0.06,8.12,2.83,698,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,0.77,Washington,2023-07-25,-82.83,41,322.03,32869
4614,Medium,0.05,51.65,18.45,698,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,0.65,Washington,2023-07-25,25.04,49,2470.84,32869
4616,Medium,0.1,175.99,8.99,698,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,0.57,Washington,2023-07-25,930.987,39,5250.66,32869
4724,High,0.04,90.97,28,898,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,0.38,New York,2023-05-12,-173.0952,6,573.31,33635
4725,High,0.07,20.34,35,898,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,0.84,New York,2023-05-12,-96.16,5,140.23,33635
4788,High,0.05,4.84,0.71,2618,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,0.52,New York,2023-07-21,29.17,20,103.39,34017
4789,High,0.01,14.98,7.69,2618,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,0.57,New York,2023-07-21,-48.97,28,435.39,34017
4843,Low,0.01,10.48,2.89,1821,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Small Pack,0.6,New York,2023-06-05,40.92,76,809.51,34435
4903,Critical,0.03,1.88,1.49,604,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,0.37,California,2023-05-24,-15.0995,52,102.32,34882
4949,Medium,0.08,9.98,12.52,2747,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,0.57,New York,2023-06-05,-102.93,15,150.24,35200
5059,Low,0.09,35.94,6.66,272,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,0.4,North Carolina,2023-10-03,72.1858,24,836.47,36069
5061,Low,0.09,4.98,7.44,272,Regular Air,Home Office,Office Supplies,Paper,Small Box,0.36,North Carolina,2023-10-03,-122.3733,37,189.83,36069
5117,High,0.1,22.38,15.1,1246,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,0.38,New York,2023-08-03,-107.5135,26,564.98,36452
5118,High,0.04,6.98,2.83,1246,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,0.37,New York,2023-08-03,46.01,18,129.48,36452
5140,High,0.01,7.89,2.82,699,Regular Air,Consumer,Office Supplies,Rubber Bands,Wrap Bag,0.4,California,2023-10-28,38.7,32,274.26,36647
5141,High,0.09,3.68,1.32,699,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,0.83,California,2023-10-28,-21.91,24,83.16,36647
5142,High,0.1,9.71,9.45,699,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,0.6,California,2023-10-28,-119.77,27,261.93,36647
5272,Low,0,291.73,48.8,68,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,0.56,New York,2023-05-02,-308.928,4,1239.06,37537
5273,Low,0.07,100.98,45,68,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,0.69,New York,2023-05-02,-1679.76,43,4083.19,37537
5274,Low,0.05,155.06,7.07,68,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,0.59,New York,2023-05-02,575.396,32,4902.38,37537
5297,Not Specified,0,8.6,6.19,1402,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0.38,Illinois,2023-05-15,-42.8536,48,447.89,37729
5302,High,0.01,8.33,1.99,308,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,0.52,Washington,2023-06-14,10.74,32,280.62,37760
5338,High,0.05,165.2,19.99,2670,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,0.59,California,2023-09-26,2008.71,167,27587.55,37924
5339,High,0.09,17.99,8.65,2670,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Box,0.57,California,2023-09-26,-80.53,71,1191.58,37924
5345,High,0.1,146.34,43.75,2303,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,0.64,New York,2023-05-03,-270.85,6,850.64,37987
5358,Not Specified,0.08,4.98,4.7,1682,Regular Air,Consumer,Office Supplies,Paper,Small Box,0.38,Illinois,2023-07-12,-56.35,47,225.98,38080
5361,Critical,0.02,49.99,19.99,181,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,0.41,California,2023-06-21,-76.89,18,901.81,38087
5421,Low,0.02,1.14,0.7,894,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,0.38,District of Columbia,2023-06-02,-0.49,38,44.85,38529
5468,Not Specified,0.03,5.98,1.49,1193,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,0.39,District of Columbia,2023-08-29,38.08,85,517.85,38852
5501,Medium,0.05,399.98,12.06,2107,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Box,0.56,Illinois,2023-10-04,567.59,24,9666.72,39015
5502,Medium,0.07,6.48,5.74,2107,Regular Air,Corporate,Office Supplies,Paper,Small Box,0.37,Illinois,2023-10-04,-28.45,20,134.58,39015
5511,Critical,0.02,5.28,6.26,3251,Regular Air,Corporate,Office Supplies,Paper,Small Box,0.4,New York,2023-10-09,-131.16,76,412.72,39076
5568,Low,0.03,30.98,6.5,1129,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,0.79,Massachusetts,2023-10-11,-144.2,44,1332.09,39430
5670,Low,0.1,49.99,19.99,1723,Express Air,Corporate,Technology,Computer Peripherals,Small Box,0.45,California,2023-05-31,13.508,46,2188.06,40101
5689,Low,0.05,63.94,14.48,2882,Express Air,Consumer,Furniture,Office Furnishings,Small Box,0.46,North Carolina,2023-10-28,270.8743,21,1336.35,40224
5722,Critical,0.06,179.99,13.99,806,Express Air,Small Business,Technology,Telephones and Communication,Medium Box,0.57,Florida,2023-05-09,1220.03784,54,8332.91,40547
5777,Low,0.05,30.98,9.18,2548,Express Air,Small Business,Office Supplies,Paper,Small Box,0.4,California,2023-08-19,61.47,12,382.29,40997
5778,Low,0.05,22.99,8.99,2548,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,0.57,California,2023-08-19,18.27,37,881.74,40997
5780,Low,0.04,212.6,110.2,2548,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,0.73,California,2023-08-19,-513.79042,33,7384.18,40997
5816,Medium,0.07,300.97,7.18,3079,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,0.48,Pennsylvania,2023-09-04,-807.59,7,2037.69,41253
5870,Critical,0.05,16.98,7.78,2190,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,0.57,Michigan,2023-06-14,-47.28,45,761.67,41636
5871,Critical,0.03,115.99,4.23,2190,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,0.56,Michigan,2023-06-14,722.241,49,5014.07,41636
5890,High,0.05,26.48,6.93,21,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,0.49,New York,2023-09-12,384.38,70,1876.69,41793
6014,Medium,0.04,300.98,54.92,102,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,0.55,Massachusetts,2023-08-04,2023.75,31,9459.94,42599
6046,Not Specified,0.02,9.06,9.86,491,Regular Air,Consumer,Office Supplies,Paper,Small Box,0.4,New York,2023-10-18,-63.51,24,239.82,42852
6062,Not Specified,0.08,5,3.39,21,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,0.37,New York,2023-09-18,-17.49,58,293.06,42949
6063,Not Specified,0.07,12.99,9.44,21,Regular Air,Small Business,Technology,Office Machines,Medium Box,0.39,New York,2023-09-18,-114.6399,71,914.29,42949
6080,Medium,0.04,30.73,4,1402,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,0.75,Illinois,2023-05-21,-20.79,48,1420.84,43079
6212,Medium,0.05,6.68,5.66,1723,Regular Air,Corporate,Office Supplies,Paper,Small Box,0.37,California,2023-06-07,-66.48,46,320.93,44002
6213,Medium,0.03,17.7,9.47,1723,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,0.59,California,2023-06-07,-52.33,14,261.85,44002
6243,Not Specified,0.04,160.98,30,94,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,0.62,Illinois,2023-08-31,116.1,37,6276.34,44231
6244,Not Specified,0.01,17.98,4,94,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,0.79,Illinois,2023-08-31,-87.96,146,2664.4,44231
6289,Medium,0.03,5.28,5.61,699,Regular Air,Consumer,Office Supplies,Paper,Small Box,0.4,California,2023-08-21,-16.67,5,32.5,44517
6387,Critical,0.06,65.99,8.8,640,Express Air,Consumer,Technology,Telephones and Communication,Small Box,0.58,Washington,2023-08-28,288.09,34,1912.98,45380
6388,Critical,0,195.99,4.2,640,Express Air,Consumer,Technology,Telephones and Communication,Small Box,0.57,Washington,2023-08-28,1030.509,24,4170.87,45380
6406,Not Specified,0.02,16.48,1.99,1413,Express Air,Corporate,Technology,Computer Peripherals,Small Pack,0.42,Massachusetts,2023-06-02,69.61,27,484.56,45539
6443,Not Specified,0.08,140.81,24.49,1106,Regular Air,Consumer,Furniture,Chairs & Chairmats,Large Box,0.57,Texas,2023-10-04,1232.79,81,11272.77,45824
6525,Low,0,35.99,0.99,2548,Regular Air,Small Business,Technology,Telephones and Communication,Small Pack,0.35,California,2023-08-02,840.051,46,1477.57,46436
6581,Low,0.03,256.99,11.25,1246,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,0.51,New York,2023-09-19,1489.8,32,8216.28,46853
6585,Medium,0.1,7.64,1.39,2618,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,0.36,New York,2023-05-17,16.12,18,130.11,46884
6586,Medium,0,125.99,2.5,2618,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,0.59,New York,2023-05-17,-815.9008,3,337.34,46884
6587,Medium,0.1,11.55,2.36,2618,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,0.55,New York,2023-05-17,15.808,25,280.43,46884
6621,Not Specified,0.07,18.65,3.77,1821,Regular Air,Consumer,Furniture,Office Furnishings,Small Pack,0.39,New York,2023-08-13,149.72,34,643.64,47108
